Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived,ArrivalRate,ServiceRate
0.3,0,0,0,-1,0,0,0,1,3.33333,0
0.6,1,0.0833333,0,-1,0,0,0,2,3.33333,0
0.9,2,0.166667,0,-1,0,0,0,3,3.33333,0
1.2,3,0.25,0,-1,0,0,0,4,3.33333,0
1.3,2,0.166667,0,-1,0,0,1,4,3.07692,0.769231
1.5,3,0.25,0,-1,0,0,1,5,3.33333,0.666667
1.8,4,0.333333,0,-1,0,0,1,6,3.33333,0.555556
2.1,5,0.416667,0.5,0.548814,0,0,1,7,3.33333,0.47619
2.3,4,0.333333,0,-1,0,0,2,7,3.04348,0.869565
2.4,5,0.416667,0.5,0.592845,0,0,2,8,3.33333,0.833333
2.7,6,0.5,1,0.715189,0,0,2,9,3.33333,0.740741
3,6,0.5,1,0.844266,1,1,2,10,3.33333,0.666667
3.3,5,0.416667,0.5,-1,0,1,3,10,3.0303,0.909091
3.3,6,0.5,1,0.602763,0,1,3,11,3.33333,0.909091
3.6,6,0.5,1,0.857946,1,2,3,12,3.33333,0.833333
3.9,6,0.5,1,0.544883,1,3,3,13,3.33333,0.769231
4.2,6,0.5,1,0.847252,1,4,3,14,3.33333,0.714286
4.3,5,0.416667,0.5,-1,0,4,4,14,3.25581,0.930233
4.5,5,0.416667,0.5,0.423655,1,5,4,15,3.33333,0.888889
4.8,6,0.5,1,0.623564,0,5,4,16,3.33333,0.833333
5.1,6,0.5,1,0.645894,1,6,4,17,3.33333,0.784314
5.3,5,0.416667,0.5,-1,0,6,5,17,3.20755,0.943396
5.4,5,0.416667,0.5,0.384382,1,7,5,18,3.33333,0.925926
5.7,5,0.416667,0.5,0.437587,1,8,5,19,3.33333,0.877193
6,5,0.416667,0.5,0.297535,1,9,5,20,3.33333,0.833333
6.3,4,0.333333,0,-1,0,9,6,20,3.1746,0.952381
6.3,5,0.416667,0.5,0.891773,0,9,6,21,3.33333,0.952381
6.6,5,0.416667,0.5,0.056713,1,10,6,22,3.33333,0.909091
6.9,6,0.5,1,0.963663,0,10,6,23,3.33333,0.869565
7.2,6,0.5,1,0.272656,1,11,6,24,3.33333,0.833333
7.3,5,0.416667,0.5,-1,0,11,7,24,3.28767,0.958904
7.5,5,0.416667,0.5,0.383442,1,12,7,25,3.33333,0.933333
7.8,5,0.416667,0.5,0.477665,1,13,7,26,3.33333,0.897436
8.1,6,0.5,1,0.791725,0,13,7,27,3.33333,0.864198
8.3,5,0.416667,0.5,-1,0,13,8,27,3.25301,0.963855
8.4,6,0.5,1,0.812169,0,13,8,28,3.33333,0.952381
8.7,6,0.5,1,0.528895,1,14,8,29,3.33333,0.91954
9,6,0.5,1,0.479977,1,15,8,30,3.33333,0.888889
9.3,5,0.416667,0.5,-1,0,15,9,30,3.22581,0.967742
9.3,6,0.5,1,0.568045,0,15,9,31,3.33333,0.967742
9.6,6,0.5,1,0.392785,1,16,9,32,3.33333,0.9375
9.9,6,0.5,1,0.925597,1,17,9,33,3.33333,0.909091
10.2,6,0.5,1,0.836079,1,18,9,34,3.33333,0.882353
10.3,5,0.416667,0.5,-1,0,18,10,34,3.30097,0.970874
10.5,5,0.416667,0.5,0.0710361,1,19,10,35,3.33333,0.952381
10.8,5,0.416667,0.5,0.337396,1,20,10,36,3.33333,0.925926
11.1,5,0.416667,0.5,0.0871293,1,21,10,37,3.33333,0.900901
11.3,4,0.333333,0,-1,0,21,11,37,3.27434,0.973451
11.4,5,0.416667,0.5,0.648172,0,21,11,38,3.33333,0.964912
11.7,5,0.416667,0.5,0.0202184,1,22,11,39,3.33333,0.940171
12,5,0.416667,0.5,0.368242,1,23,11,40,3.33333,0.916667
12.3,4,0.333333,0,-1,0,23,12,40,3.25203,0.97561
12.3,5,0.416667,0.5,0.83262,0,23,12,41,3.33333,0.97561
12.6,6,0.5,1,0.957155,0,23,12,42,3.33333,0.952381
12.9,6,0.5,1,0.778157,1,24,12,43,3.33333,0.930233
13.2,6,0.5,1,0.140351,1,25,12,44,3.33333,0.909091
13.3,5,0.416667,0.5,-1,0,25,13,44,3.30827,0.977444
13.5,6,0.5,1,0.870012,0,25,13,45,3.33333,0.962963
13.8,6,0.5,1,0.870087,1,26,13,46,3.33333,0.942029
14.1,6,0.5,1,0.978618,1,27,13,47,3.33333,0.921986
14.3,5,0.416667,0.5,-1,0,27,14,47,3.28671,0.979021
14.4,5,0.416667,0.5,0.473608,1,28,14,48,3.33333,0.972222
14.7,6,0.5,1,0.799159,0,28,14,49,3.33333,0.952381
15,6,0.5,1,0.800911,1,29,14,50,3.33333,0.933333
15.3,5,0.416667,0.5,-1,0,29,15,50,3.26797,0.980392
15.3,5,0.416667,0.5,0.461479,1,30,15,51,3.33333,0.980392
15.6,6,0.5,1,0.520477,0,30,15,52,3.33333,0.961538
15.9,6,0.5,1,0.780529,1,31,15,53,3.33333,0.943396
16.2,6,0.5,1,0.67888,1,32,15,54,3.33333,0.925926
16.3,5,0.416667,0.5,-1,0,32,16,54,3.31288,0.981595
16.5,5,0.416667,0.5,0.118274,1,33,16,55,3.33333,0.969697
16.8,6,0.5,1,0.720633,0,33,16,56,3.33333,0.952381
17.1,6,0.5,1,0.639921,1,34,16,57,3.33333,0.935673
17.3,5,0.416667,0.5,-1,0,34,17,57,3.2948,0.982659
17.4,6,0.5,1,0.58202,0,34,17,58,3.33333,0.977011
17.7,6,0.5,1,0.143353,1,35,17,59,3.33333,0.960452
18,6,0.5,1,0.537373,1,36,17,60,3.33333,0.944444
18.3,5,0.416667,0.5,-1,0,36,18,60,3.27869,0.983607
18.3,6,0.5,1,0.944669,0,36,18,61,3.33333,0.983607
18.6,6,0.5,1,0.758616,1,37,18,62,3.33333,0.967742
18.9,6,0.5,1,0.521848,1,38,18,63,3.33333,0.952381
19.2,6,0.5,1,0.105908,1,39,18,64,3.33333,0.9375
19.3,5,0.416667,0.5,-1,0,39,19,64,3.31606,0.984456
19.5,5,0.416667,0.5,0.414662,1,40,19,65,3.33333,0.974359
19.8,5,0.416667,0.5,0.4736,1,41,19,66,3.33333,0.959596
20.1,5,0.416667,0.5,0.264556,1,42,19,67,3.33333,0.945274
20.3,4,0.333333,0,-1,0,42,20,67,3.30049,0.985222
20.4,5,0.416667,0.5,0.186332,0,42,20,68,3.33333,0.980392
20.7,6,0.5,1,0.774234,0,42,20,69,3.33333,0.966184
21,6,0.5,1,0.736918,1,43,20,70,3.33333,0.952381
21.3,5,0.416667,0.5,-1,0,43,21,70,3.28638,0.985915
21.3,5,0.416667,0.5,0.45615,1,44,21,71,3.33333,0.985915
21.6,5,0.416667,0.5,0.21655,1,45,21,72,3.33333,0.972222
21.9,6,0.5,1,0.568434,0,45,21,73,3.33333,0.958904
22.2,6,0.5,1,0.135218,1,46,21,74,3.33333,0.945946
22.3,5,0.416667,0.5,-1,0,46,22,74,3.31839,0.986547
22.5,5,0.416667,0.5,0.0187898,1,47,22,75,3.33333,0.977778
22.8,5,0.416667,0.5,0.324141,1,48,22,76,3.33333,0.964912
23.1,6,0.5,1,0.617636,0,48,22,77,3.33333,0.952381
23.3,5,0.416667,0.5,-1,0,48,23,77,3.30472,0.987124
23.4,5,0.416667,0.5,0.149675,1,49,23,78,3.33333,0.982906
23.7,6,0.5,1,0.612096,0,49,23,79,3.33333,0.970464
24,6,0.5,1,0.222321,1,50,23,80,3.33333,0.958333
24.3,5,0.416667,0.5,-1,0,50,24,80,3.29218,0.987654
24.3,6,0.5,1,0.616934,0,50,24,81,3.33333,0.987654
24.6,6,0.5,1,0.386489,1,51,24,82,3.33333,0.97561
24.9,6,0.5,1,0.943748,1,52,24,83,3.33333,0.963855
25.2,6,0.5,1,0.902598,1,53,24,84,3.33333,0.952381
25.3,5,0.416667,0.5,-1,0,53,25,84,3.32016,0.988142
25.5,6,0.5,1,0.68182,0,53,25,85,3.33333,0.980392
25.8,6,0.5,1,0.44995,1,54,25,86,3.33333,0.968992
26.1,6,0.5,1,0.359508,1,55,25,87,3.33333,0.957854
26.3,5,0.416667,0.5,-1,0,55,26,87,3.30798,0.988593
26.4,6,0.5,1,0.613063,0,55,26,88,3.33333,0.984848
26.7,6,0.5,1,0.437032,1,56,26,89,3.33333,0.973783
27,6,0.5,1,0.902349,1,57,26,90,3.33333,0.962963
27.3,5,0.416667,0.5,-1,0,57,27,90,3.2967,0.989011
27.3,6,0.5,1,0.697631,0,57,27,91,3.33333,0.989011
27.6,6,0.5,1,0.0992804,1,58,27,92,3.33333,0.978261
27.9,6,0.5,1,0.0602255,1,59,27,93,3.33333,0.967742
28.2,6,0.5,1,0.969809,1,60,27,94,3.33333,0.957447
28.3,5,0.416667,0.5,-1,0,60,28,94,3.32155,0.989399
28.5,6,0.5,1,0.666767,0,60,28,95,3.33333,0.982456
28.8,6,0.5,1,0.65314,1,61,28,96,3.33333,0.972222
29.1,6,0.5,1,0.670638,1,62,28,97,3.33333,0.962199
29.3,5,0.416667,0.5,-1,0,62,29,97,3.31058,0.989761
29.4,5,0.416667,0.5,0.17091,1,63,29,98,3.33333,0.986395
29.7,5,0.416667,0.5,0.210383,1,64,29,99,3.33333,0.976431
30,5,0.416667,0.5,0.358152,1,65,29,100,3.33333,0.966667
