Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived,ArrivalRate,ServiceRate
0.8,0,0,0,-1,0,0,0,1,1.25,0
1.6,1,0.0833333,0,-1,0,0,0,2,1.25,0
1.8,0,0,0,-1,0,0,1,2,1.11111,0.555556
2.4,1,0.0833333,0,-1,0,0,1,3,1.25,0.416667
2.8,0,0,0,-1,0,0,2,3,1.07143,0.714286
3.2,1,0.0833333,0,-1,0,0,2,4,1.25,0.625
3.8,0,0,0,-1,0,0,3,4,1.05263,0.789474
4,1,0.0833333,0,-1,0,0,3,5,1.25,0.75
4.8,0,0,0,-1,0,0,4,5,1.04167,0.833333
4.8,1,0.0833333,0,-1,0,0,4,6,1.25,0.833333
5.6,2,0.166667,0,-1,0,0,4,7,1.25,0.714286
5.8,1,0.0833333,0,-1,0,0,5,7,1.2069,0.862069
6.4,2,0.166667,0,-1,0,0,5,8,1.25,0.78125
6.8,1,0.0833333,0,-1,0,0,6,8,1.17647,0.882353
7.2,2,0.166667,0,-1,0,0,6,9,1.25,0.833333
7.8,1,0.0833333,0,-1,0,0,7,9,1.15385,0.897436
8,2,0.166667,0,-1,0,0,7,10,1.25,0.875
8.8,1,0.0833333,0,-1,0,0,8,10,1.13636,0.909091
8.8,2,0.166667,0,-1,0,0,8,11,1.25,0.909091
9.6,3,0.25,0,-1,0,0,8,12,1.25,0.833333
9.8,2,0.166667,0,-1,0,0,9,12,1.22449,0.918367
10.4,3,0.25,0,-1,0,0,9,13,1.25,0.865385
10.8,2,0.166667,0,-1,0,0,10,13,1.2037,0.925926
11.2,3,0.25,0,-1,0,0,10,14,1.25,0.892857
11.8,2,0.166667,0,-1,0,0,11,14,1.18644,0.932203
12,3,0.25,0,-1,0,0,11,15,1.25,0.916667
12.8,2,0.166667,0,-1,0,0,12,15,1.17188,0.9375
12.8,3,0.25,0,-1,0,0,12,16,1.25,0.9375
13.6,4,0.333333,0,-1,0,0,12,17,1.25,0.882353
13.8,3,0.25,0,-1,0,0,13,17,1.23188,0.942029
14.4,4,0.333333,0,-1,0,0,13,18,1.25,0.902778
14.8,3,0.25,0,-1,0,0,14,18,1.21622,0.945946
15.2,4,0.333333,0,-1,0,0,14,19,1.25,0.921053
15.8,3,0.25,0,-1,0,0,15,19,1.20253,0.949367
