Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived,ArrivalRate,ServiceRate
0.2,0,0,0,-1,0,0,0,1,5,0
0.4,1,0.0833333,0,-1,0,0,0,2,5,0
0.6,2,0.166667,0,-1,0,0,0,3,5,0
0.8,3,0.25,0,-1,0,0,0,4,5,0
1,4,0.333333,0,-1,0,0,0,5,5,0
1.2,3,0.25,0,-1,0,0,1,5,4.16667,0.833333
1.2,4,0.333333,0,-1,0,0,1,6,5,0.833333
1.4,5,0.416667,0,-1,0,0,1,7,5,0.714286
1.6,6,0.5,0,-1,0,0,1,8,5,0.625
1.8,7,0.583333,0,-1,0,0,1,9,5,0.555556
2,8,0.666667,0.333333,0.548814,0,0,1,10,5,0.5
2.2,7,0.583333,0,-1,0,0,2,10,4.54545,0.909091
2.2,8,0.666667,0.333333,0.592845,0,0,2,11,5,0.909091
2.4,9,0.75,0.666667,0.715189,0,0,2,12,5,0.833333
2.6,10,0.833333,1,0.844266,0,0,2,13,5,0.769231
2.8,10,0.833333,1,0.602763,1,1,2,14,5,0.714286
3,10,0.833333,1,0.857946,1,2,2,15,5,0.666667
3.2,9,0.75,0.666667,-1,0,2,3,15,4.6875,0.9375
3.2,9,0.75,0.666667,0.544883,1,3,3,16,5,0.9375
3.4,10,0.833333,1,0.847252,0,3,3,17,5,0.882353
3.6,10,0.833333,1,0.423655,1,4,3,18,5,0.833333
3.8,10,0.833333,1,0.623564,1,5,3,19,5,0.789474
4,10,0.833333,1,0.645894,1,6,3,20,5,0.75
4.2,9,0.75,0.666667,-1,0,6,4,20,4.7619,0.952381
4.2,9,0.75,0.666667,0.384382,1,7,4,21,5,0.952381
4.4,9,0.75,0.666667,0.437587,1,8,4,22,5,0.909091
4.6,9,0.75,0.666667,0.297535,1,9,4,23,5,0.869565
4.8,10,0.833333,1,0.891773,0,9,4,24,5,0.833333
5,10,0.833333,1,0.056713,1,10,4,25,5,0.8
5.2,9,0.75,0.666667,-1,0,10,5,25,4.80769,0.961538
5.2,10,0.833333,1,0.963663,0,10,5,26,5,0.961538
5.4,10,0.833333,1,0.272656,1,11,5,27,5,0.925926
5.6,10,0.833333,1,0.383442,1,12,5,28,5,0.892857
5.8,10,0.833333,1,0.477665,1,13,5,29,5,0.862069
6,10,0.833333,1,0.791725,1,14,5,30,5,0.833333
6.2,9,0.75,0.666667,-1,0,14,6,30,4.83871,0.967742
6.2,10,0.833333,1,0.812169,0,14,6,31,5,0.967742
6.4,10,0.833333,1,0.528895,1,15,6,32,5,0.9375
6.6,10,0.833333,1,0.479977,1,16,6,33,5,0.909091
6.8,10,0.833333,1,0.568045,1,17,6,34,5,0.882353
7,10,0.833333,1,0.392785,1,18,6,35,5,0.857143
7.2,9,0.75,0.666667,-1,0,18,7,35,4.86111,0.972222
7.2,10,0.833333,1,0.925597,0,18,7,36,5,0.972222
7.4,10,0.833333,1,0.836079,1,19,7,37,5,0.945946
7.6,10,0.833333,1,0.0710361,1,20,7,38,5,0.921053
