Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived,ArrivalRate,ServiceRate
0.8,0,0,0,-1,0,0,0,1,1.25,0
1.6,1,0.1,0,-1,0,0,0,2,1.25,0
1.8,0,0,0,-1,0,0,1,2,1.11111,0.555556
2.4,1,0.1,0,-1,0,0,1,3,1.25,0.416667
2.8,0,0,0,-1,0,0,2,3,1.07143,0.714286
3.2,1,0.1,0,-1,0,0,2,4,1.25,0.625
3.8,0,0,0,-1,0,0,3,4,1.05263,0.789474
4,1,0.1,0,-1,0,0,3,5,1.25,0.75
4.8,0,0,0,-1,0,0,4,5,1.04167,0.833333
4.8,1,0.1,0,-1,0,0,4,6,1.25,0.833333
5.6,2,0.2,0,-1,0,0,4,7,1.25,0.714286
5.8,1,0.1,0,-1,0,0,5,7,1.2069,0.862069
6.4,2,0.2,0,-1,0,0,5,8,1.25,0.78125
6.8,1,0.1,0,-1,0,0,6,8,1.17647,0.882353
7.2,2,0.2,0,-1,0,0,6,9,1.25,0.833333
7.8,1,0.1,0,-1,0,0,7,9,1.15385,0.897436
8,2,0.2,0,-1,0,0,7,10,1.25,0.875
8.8,1,0.1,0,-1,0,0,8,10,1.13636,0.909091
8.8,2,0.2,0,-1,0,0,8,11,1.25,0.909091
9.6,3,0.3,0,-1,0,0,8,12,1.25,0.833333
9.8,2,0.2,0,-1,0,0,9,12,1.22449,0.918367
10.4,3,0.3,0,-1,0,0,9,13,1.25,0.865385
10.8,2,0.2,0,-1,0,0,10,13,1.2037,0.925926
11.2,3,0.3,0,-1,0,0,10,14,1.25,0.892857
11.8,2,0.2,0,-1,0,0,11,14,1.18644,0.932203
12,3,0.3,0,-1,0,0,11,15,1.25,0.916667
12.8,2,0.2,0,-1,0,0,12,15,1.17188,0.9375
12.8,3,0.3,0,-1,0,0,12,16,1.25,0.9375
13.6,4,0.4,0,-1,0,0,12,17,1.25,0.882353
13.8,3,0.3,0,-1,0,0,13,17,1.23188,0.942029
14.4,4,0.4,0,-1,0,0,13,18,1.25,0.902778
14.8,3,0.3,0,-1,0,0,14,18,1.21622,0.945946
15.2,4,0.4,0,-1,0,0,14,19,1.25,0.921053
15.8,3,0.3,0,-1,0,0,15,19,1.20253,0.949367
16,4,0.4,0,-1,0,0,15,20,1.25,0.9375
16.8,3,0.3,0,-1,0,0,16,20,1.19048,0.952381
16.8,4,0.4,0,-1,0,0,16,21,1.25,0.952381
17.6,5,0.5,0,-1,0,0,16,22,1.25,0.909091
17.8,4,0.4,0,-1,0,0,17,22,1.23596,0.955056
18.4,5,0.5,0,-1,0,0,17,23,1.25,0.923913
18.8,4,0.4,0,-1,0,0,18,23,1.2234,0.957447
19.2,5,0.5,0,-1,0,0,18,24,1.25,0.9375
19.8,4,0.4,0,-1,0,0,19,24,1.21212,0.959596
20,5,0.5,0,-1,0,0,19,25,1.25,0.95
20.8,4,0.4,0,-1,0,0,20,25,1.20192,0.961538
20.8,5,0.5,0,-1,0,0,20,26,1.25,0.961538
21.6,6,0.6,0.333333,0.548814,0,0,20,27,1.25,0.925926
21.8,5,0.5,0,-1,0,0,21,27,1.23853,0.963303
22.4,6,0.6,0.333333,0.592845,0,0,21,28,1.25,0.9375
22.8,5,0.5,0,-1,0,0,22,28,1.22807,0.964912
23.2,6,0.6,0.333333,0.715189,0,0,22,29,1.25,0.948276
23.8,5,0.5,0,-1,0,0,23,29,1.21849,0.966387
24,6,0.6,0.333333,0.844266,0,0,23,30,1.25,0.958333
24.8,5,0.5,0,-1,0,0,24,30,1.20968,0.967742
24.8,6,0.6,0.333333,0.602763,0,0,24,31,1.25,0.967742
25.6,7,0.7,0.666667,0.857946,0,0,24,32,1.25,0.9375
25.8,6,0.6,0.333333,-1,0,0,25,32,1.24031,0.968992
26.4,7,0.7,0.666667,0.544883,0,0,25,33,1.25,0.94697
26.8,6,0.6,0.333333,-1,0,0,26,33,1.23134,0.970149
27.2,7,0.7,0.666667,0.847252,0,0,26,34,1.25,0.955882
27.8,6,0.6,0.333333,-1,0,0,27,34,1.22302,0.971223
28,7,0.7,0.666667,0.423655,0,0,27,35,1.25,0.964286
28.8,6,0.6,0.333333,-1,0,0,28,35,1.21528,0.972222
28.8,7,0.7,0.666667,0.623564,0,0,28,36,1.25,0.972222
29.6,7,0.7,0.666667,0.645894,1,1,28,37,1.25,0.945946
