Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived,ArrivalRate,ServiceRate
0.5,0,0,0,-1,0,0,0,1,2,0
1,1,0.1,0,-1,0,0,0,2,2,0
1.5,0,0,0,-1,0,0,1,2,1.33333,0.666667
1.5,1,0.1,0,-1,0,0,1,3,2,0.666667
2,2,0.2,0,-1,0,0,1,4,2,0.5
2.5,1,0.1,0,-1,0,0,2,4,1.6,0.8
2.5,2,0.2,0,-1,0,0,2,5,2,0.8
3,3,0.3,0,-1,0,0,2,6,2,0.666667
3.5,2,0.2,0,-1,0,0,3,6,1.71429,0.857143
3.5,3,0.3,0,-1,0,0,3,7,2,0.857143
4,4,0.4,0,-1,0,0,3,8,2,0.75
4.5,3,0.3,0,-1,0,0,4,8,1.77778,0.888889
4.5,4,0.4,0,-1,0,0,4,9,2,0.888889
5,5,0.5,0,-1,0,0,4,10,2,0.8
5.5,4,0.4,0,-1,0,0,5,10,1.81818,0.909091
5.5,5,0.5,0,-1,0,0,5,11,2,0.909091
6,6,0.6,0.333333,0.548814,0,0,5,12,2,0.833333
6.5,5,0.5,0,-1,0,0,6,12,1.84615,0.923077
6.5,6,0.6,0.333333,0.592845,0,0,6,13,2,0.923077
7,7,0.7,0.666667,0.715189,0,0,6,14,2,0.857143
7.5,6,0.6,0.333333,-1,0,0,7,14,1.86667,0.933333
7.5,7,0.7,0.666667,0.844266,0,0,7,15,2,0.933333
8,7,0.7,0.666667,0.602763,1,1,7,16,2,0.875
8.5,6,0.6,0.333333,-1,0,1,8,16,1.88235,0.941176
8.5,7,0.7,0.666667,0.857946,0,1,8,17,2,0.941176
9,7,0.7,0.666667,0.544883,1,2,8,18,2,0.888889
9.5,6,0.6,0.333333,-1,0,2,9,18,1.89474,0.947368
9.5,7,0.7,0.666667,0.847252,0,2,9,19,2,0.947368
10,7,0.7,0.666667,0.423655,1,3,9,20,2,0.9
10.5,6,0.6,0.333333,-1,0,3,10,20,1.90476,0.952381
10.5,7,0.7,0.666667,0.623564,0,3,10,21,2,0.952381
11,7,0.7,0.666667,0.645894,1,4,10,22,2,0.909091
11.5,6,0.6,0.333333,-1,0,4,11,22,1.91304,0.956522
11.5,7,0.7,0.666667,0.384382,0,4,11,23,2,0.956522
12,7,0.7,0.666667,0.437587,1,5,11,24,2,0.916667
12.5,6,0.6,0.333333,-1,0,5,12,24,1.92,0.96
12.5,6,0.6,0.333333,0.297535,1,6,12,25,2,0.96
13,7,0.7,0.666667,0.891773,0,6,12,26,2,0.923077
13.5,6,0.6,0.333333,-1,0,6,13,26,1.92593,0.962963
13.5,6,0.6,0.333333,0.056713,1,7,13,27,2,0.962963
14,7,0.7,0.666667,0.963663,0,7,13,28,2,0.928571
14.5,6,0.6,0.333333,-1,0,7,14,28,1.93103,0.965517
14.5,6,0.6,0.333333,0.272656,1,8,14,29,2,0.965517
15,7,0.7,0.666667,0.383442,0,8,14,30,2,0.933333
15.5,6,0.6,0.333333,-1,0,8,15,30,1.93548,0.967742
15.5,7,0.7,0.666667,0.477665,0,8,15,31,2,0.967742
16,8,0.8,1,0.791725,0,8,15,32,2,0.9375
16.5,7,0.7,0.666667,-1,0,8,16,32,1.93939,0.969697
16.5,8,0.8,1,0.812169,0,8,16,33,2,0.969697
17,8,0.8,1,0.528895,1,9,16,34,2,0.941176
17.5,7,0.7,0.666667,-1,0,9,17,34,1.94286,0.971429
17.5,7,0.7,0.666667,0.479977,1,10,17,35,2,0.971429
18,7,0.7,0.666667,0.568045,1,11,17,36,2,0.944444
18.5,6,0.6,0.333333,-1,0,11,18,36,1.94595,0.972973
18.5,7,0.7,0.666667,0.392785,0,11,18,37,2,0.972973
19,8,0.8,1,0.925597,0,11,18,38,2,0.947368
19.5,7,0.7,0.666667,-1,0,11,19,38,1.94872,0.974359
19.5,8,0.8,1,0.836079,0,11,19,39,2,0.974359
20,8,0.8,1,0.0710361,1,12,19,40,2,0.95
20.5,7,0.7,0.666667,-1,0,12,20,40,1.95122,0.97561
20.5,7,0.7,0.666667,0.337396,1,13,20,41,2,0.97561
21,7,0.7,0.666667,0.0871293,1,14,20,42,2,0.952381
21.5,6,0.6,0.333333,-1,0,14,21,42,1.95349,0.976744
21.5,7,0.7,0.666667,0.648172,0,14,21,43,2,0.976744
22,7,0.7,0.666667,0.0202184,1,15,21,44,2,0.954545
22.5,6,0.6,0.333333,-1,0,15,22,44,1.95556,0.977778
22.5,7,0.7,0.666667,0.368242,0,15,22,45,2,0.977778
23,8,0.8,1,0.83262,0,15,22,46,2,0.956522
23.5,7,0.7,0.666667,-1,0,15,23,46,1.95745,0.978723
23.5,8,0.8,1,0.957155,0,15,23,47,2,0.978723
24,8,0.8,1,0.778157,1,16,23,48,2,0.958333
24.5,7,0.7,0.666667,-1,0,16,24,48,1.95918,0.979592
24.5,7,0.7,0.666667,0.140351,1,17,24,49,2,0.979592
25,8,0.8,1,0.870012,0,17,24,50,2,0.96
25.5,7,0.7,0.666667,-1,0,17,25,50,1.96078,0.980392
25.5,8,0.8,1,0.870087,0,17,25,51,2,0.980392
26,8,0.8,1,0.978618,1,18,25,52,2,0.961538
26.5,7,0.7,0.666667,-1,0,18,26,52,1.96226,0.981132
26.5,7,0.7,0.666667,0.473608,1,19,26,53,2,0.981132
27,8,0.8,1,0.799159,0,19,26,54,2,0.962963
27.5,7,0.7,0.666667,-1,0,19,27,54,1.96364,0.981818
27.5,8,0.8,1,0.800911,0,19,27,55,2,0.981818
28,8,0.8,1,0.461479,1,20,27,56,2,0.964286
28.5,7,0.7,0.666667,-1,0,20,28,56,1.96491,0.982456
28.5,7,0.7,0.666667,0.520477,1,21,28,57,2,0.982456
29,8,0.8,1,0.780529,0,21,28,58,2,0.965517
29.5,7,0.7,0.666667,-1,0,21,29,58,1.9661,0.983051
29.5,8,0.8,1,0.67888,0,21,29,59,2,0.983051
30,8,0.8,1,0.118274,1,22,29,60,2,0.966667
30.5,7,0.7,0.666667,-1,0,22,30,60,1.96721,0.983607
30.5,8,0.8,1,0.720633,0,22,30,61,2,0.983607
31,8,0.8,1,0.639921,1,23,30,62,2,0.967742
31.5,7,0.7,0.666667,-1,0,23,31,62,1.96825,0.984127
31.5,7,0.7,0.666667,0.58202,1,24,31,63,2,0.984127
32,7,0.7,0.666667,0.143353,1,25,31,64,2,0.96875
32.5,6,0.6,0.333333,-1,0,25,32,64,1.96923,0.984615
32.5,7,0.7,0.666667,0.537373,0,25,32,65,2,0.984615
33,8,0.8,1,0.944669,0,25,32,66,2,0.969697
33.5,7,0.7,0.666667,-1,0,25,33,66,1.97015,0.985075
33.5,8,0.8,1,0.758616,0,25,33,67,2,0.985075
34,8,0.8,1,0.521848,1,26,33,68,2,0.970588
34.5,7,0.7,0.666667,-1,0,26,34,68,1.97101,0.985507
34.5,7,0.7,0.666667,0.105908,1,27,34,69,2,0.985507
35,7,0.7,0.666667,0.414662,1,28,34,70,2,0.971429
35.5,6,0.6,0.333333,-1,0,28,35,70,1.97183,0.985915
35.5,7,0.7,0.666667,0.4736,0,28,35,71,2,0.985915
36,7,0.7,0.666667,0.264556,1,29,35,72,2,0.972222
36.5,6,0.6,0.333333,-1,0,29,36,72,1.9726,0.986301
36.5,6,0.6,0.333333,0.186332,1,30,36,73,2,0.986301
37,7,0.7,0.666667,0.774234,0,30,36,74,2,0.972973
37.5,6,0.6,0.333333,-1,0,30,37,74,1.97333,0.986667
37.5,7,0.7,0.666667,0.736918,0,30,37,75,2,0.986667
38,7,0.7,0.666667,0.45615,1,31,37,76,2,0.973684
38.5,6,0.6,0.333333,-1,0,31,38,76,1.97403,0.987013
38.5,6,0.6,0.333333,0.21655,1,32,38,77,2,0.987013
